物件名,住所,間取り,家賃,階数,最寄りまでの時間
ＪＲ総武線 小岩駅 5階建 築9年,東京都江戸川区西小岩３,2DK,13.2万円,"築9年
5階建",ＪＲ総武線/小岩駅 歩8分
ＪＲ総武線 錦糸町駅 9階建 築2年,東京都墨田区緑４,2LDK,19.3万円,"築2年
9階建",ＪＲ総武線/錦糸町駅 歩10分
(仮称)緑1丁目新築マンション,東京都墨田区緑１,2DK,17.7万円,"新築
9階建",都営大江戸線/両国駅 歩2分
東京メトロ有楽町線 氷川台駅 2階建 築12年,東京都練馬区桜台２,2LDK,15.6万円,"築12年
2階建",東京メトロ有楽町線/氷川台駅 歩7分
エクレール,東京都葛飾区東金町３,2LDK,12.7万円,"築9年
2階建",ＪＲ常磐線/金町駅 歩8分
都営大江戸線 両国駅 9階建 新築,東京都墨田区緑１,2DK,18万円,"新築
9階建",都営大江戸線/両国駅 歩2分
東京メトロ日比谷線 南千住駅 10階建 築4年,東京都台東区清川２,2LDK,14.45万円,"築4年
10階建",東京メトロ日比谷線/南千住駅 歩9分
京急本線 立会川駅 6階建 築10年,東京都品川区南大井１,2DK,14万円,"築10年
6階建",京急本線/立会川駅 歩1分
日暮里・舎人ライナー 熊野前駅 3階建 新築,東京都荒川区西尾久３,2LDK,17.3万円,"新築
3階建",日暮里・舎人ライナー/熊野前駅 歩10分
コンフォルト南大塚,東京都豊島区南大塚２,2LDK,18万円,"築7年
5階建",ＪＲ山手線/大塚駅 歩7分
東京メトロ南北線 王子神谷駅 6階建 築1年,東京都北区王子３,2LDK,18.9万円,"築1年
6階建",東京メトロ南北線/王子神谷駅 歩8分
東武伊勢崎線 梅島駅 7階建 築3年,東京都足立区梅島１,2DK,12.7万円,"築3年
7階建",東武伊勢崎線/梅島駅 歩8分
ミハス経堂宮坂,東京都世田谷区宮坂１,2DK,13.7万円,"築6年
3階建",小田急線/経堂駅 歩9分
リヴシティ墨田,東京都墨田区墨田３,2LDK,14.4万円,"築1年
7階建",東武伊勢崎線/鐘ヶ淵駅 歩7分
カーサ扇,東京都足立区扇１,2DK,12万円,"築11年
3階建",日暮里・舎人ライナー/扇大橋駅 歩4分
ＪＲ山手線 駒込駅 9階建 築2年,東京都北区田端３,2LDK,19.6万円,"築2年
9階建",ＪＲ山手線/駒込駅 歩5分
シャルマン西新井１,東京都足立区西新井栄町１,2DK,13.6万円,"築12年
3階建",東武伊勢崎線/西新井駅 歩5分
都営三田線 西巣鴨駅 13階建 築13年,東京都北区滝野川７,2LDK,20万円,"築13年
13階建",都営三田線/西巣鴨駅 歩5分
都営大江戸線 新江古田駅 3階建 新築,東京都練馬区旭丘１,2LDK,16万円,"新築
3階建",都営大江戸線/新江古田駅 歩7分
東急東横線 田園調布駅 地下1地上3階建 築7年,東京都世田谷区玉川田園調布２,2DK,16.5万円,"築7年
地下1地上3階建",東急東横線/田園調布駅 歩6分
東京メトロ日比谷線 三ノ輪駅 地下1地上10階建 新築,東京都台東区竜泉３,2LDK,18.5万円,"新築
地下1地上10階建",東京メトロ日比谷線/三ノ輪駅 歩7分
アリアソワン・フォンターナ,東京都練馬区練馬３,2LDK,18万円,"築5年
6階建",西武池袋線/練馬駅 歩6分
アンタレス,東京都足立区青井２,2LDK,13万円,"築10年
2階建",東武伊勢崎線/五反野駅 歩9分
東武伊勢崎線 五反野駅 2階建 築10年,東京都足立区青井２,2LDK,13万円,"築10年
2階建",東武伊勢崎線/五反野駅 歩9分
（仮称）戸越４丁目新築マンション,東京都品川区戸越４,2LDK,19.1万円,"新築
4階建",都営浅草線/戸越駅 歩5分
ＳＵＡＮＰＡＮ　橘　ＲＥＳＩＤＥＮＣＥ,東京都荒川区東日暮里１,2K,9.3万円,"築2年
6階建",東京メトロ日比谷線/三ノ輪駅 歩5分
京成本線 千住大橋駅 12階建 築2年,東京都足立区千住河原町,2LDK,19.4万円,"築2年
12階建",京成本線/千住大橋駅 歩4分
西武新宿線 野方駅 3階建 築4年,東京都中野区若宮１,2LDK,17.6万円,"築4年
3階建",西武新宿線/野方駅 歩6分
京成本線 京成小岩駅 10階建 築9年,東京都江戸川区北小岩６,2LDK,12.3万円,"築9年
10階建",京成本線/京成小岩駅 歩2分
ラ・シャルール北小岩,東京都江戸川区北小岩６,2DK,12.3万円,"築9年
10階建",京成本線/京成小岩駅 歩2分
つくばエクスプレス 六町駅 3階建 築10年,東京都足立区保塚町,2DK,11.5万円,"築10年
3階建",つくばエクスプレス/六町駅 歩10分
セジュール保塚A,東京都足立区保塚町,2DK,11.5万円,"築10年
3階建",つくばエクスプレス/六町駅 歩10分
Ｋｌｅｉｎ　Ｑｕｅｌｌｅ,東京都練馬区練馬３,2LDK,16.8万円,"新築
地下1地上14階建",西武池袋線/練馬駅 歩5分
東京メトロ日比谷線 三ノ輪駅 地下1地上10階建 新築,東京都台東区竜泉３,2LDK,18.5万円,"新築
地下1地上10階建",東京メトロ日比谷線/三ノ輪駅 歩7分
日本住宅錦糸町ビル,東京都墨田区錦糸１,2LDK,16.3万円,"築4年
6階建",ＪＲ総武線/錦糸町駅 歩7分
京王井の頭線 駒場東大前駅 3階建 築3年,東京都目黒区大橋２,2LDK,19.8万円,"築3年
3階建",京王井の頭線/駒場東大前駅 歩8分
ＪＲ山手線 鶯谷駅 10階建 築3年,東京都荒川区東日暮里４,2LDK,18.5万円,"築3年
10階建",ＪＲ山手線/鶯谷駅 歩6分
エステムプラザ品川大井町クリスタルヒルズ,東京都品川区大井４,2LDK,19.15万円,"築12年
15階建",ＪＲ京浜東北線/大井町駅 歩4分
ＪＲ京浜東北線 大井町駅 15階建 築12年,東京都品川区大井４,2LDK,19.15万円,"築12年
15階建",ＪＲ京浜東北線/大井町駅 歩4分
コンフォーリア,東京都杉並区和泉１,2DK,13.5万円,"新築
地下1地上3階建",京王線/代田橋駅 歩6分
エトワールII,東京都足立区扇２,2LDK,11.8万円,"築10年
2階建",日暮里・舎人ライナー/扇大橋駅 歩5分
GRAN PASEO 碑文谷 North,東京都目黒区碑文谷３,2DK,17.2万円,"築3年
4階建",東急東横線/都立大学駅 歩8分
ミハス中村橋,東京都練馬区貫井２,2LDK,12万円,"築8年
3階建",西武池袋線/中村橋駅 歩8分
アクティブタワー市谷,東京都新宿区市谷船河原町,2DK,19.5万円,"築14年
12階建",ＪＲ中央線/飯田橋駅 歩6分
ＪＲ中央線 飯田橋駅 12階建 築14年,東京都新宿区市谷船河原町,2DK,19.5万円,"築14年
12階建",ＪＲ中央線/飯田橋駅 歩6分
ＪＲ総武線 荻窪駅 4階建 築13年,東京都杉並区天沼３,2DK,17万円,"築13年
4階建",ＪＲ総武線/荻窪駅 歩6分
プラムガーデン関根,東京都杉並区天沼３,2DK,17万円,"築13年
4階建",ＪＲ総武線/荻窪駅 歩6分
ルフォンプログレ浅草入谷,東京都台東区千束２,2LDK,20万円,"築3年
14階建",東京メトロ日比谷線/入谷駅 歩8分
ワールドレジデンス,東京都豊島区長崎５,2LDK,16.4万円,"新築
2階建",西武池袋線/東長崎駅 歩5分
ＪＲ中央線 東中野駅 3階建 築8年,東京都中野区中野１,2DK,15万円,"築8年
3階建",ＪＲ中央線/東中野駅 歩10分
サニーホームズ,東京都板橋区高島平２,2DK,11万円,"築10年
2階建",都営三田線/高島平駅 歩9分
サニーホームズ,東京都板橋区高島平２,2DK,11万円,"築10年
2階建",都営三田線/高島平駅 歩9分
京成金町線 柴又駅 9階建 築3年,東京都葛飾区柴又４,2LDK,14万円,"築3年
9階建",京成金町線/柴又駅 歩2分
Ｇｒａｎｄｅａｒ　Ｐａｒｋ・Ｋ,東京都世田谷区上北沢３,2DK,14.1万円,"築12年
2階建",京王線/上北沢駅 歩1分
ＪＲ総武線 浅草橋駅 11階建 新築,東京都台東区浅草橋２,2LDK,19.3万円,"新築
11階建",ＪＲ総武線/浅草橋駅 歩5分
ＲＪカーサ松陰神社,東京都世田谷区若林４,2DK,16.7万円,"築3年
3階建",東急世田谷線/松陰神社前駅 歩3分
アルテシモクルブ,東京都目黒区目黒本町３,2DK,18.3万円,"新築
6階建",東急目黒線/武蔵小山駅 歩5分
マンション柿の木,東京都北区西ケ原４,2LDK,13万円,"築11年
3階建",都営三田線/西巣鴨駅 歩6分
ALTERNA日暮里,東京都荒川区東日暮里２,2LDK,19.8万円,"新築
10階建",東京メトロ日比谷線/三ノ輪駅 歩8分
ＪＲ総武線 浅草橋駅 11階建 新築,東京都台東区浅草橋２,2LDK,19.8万円,"新築
11階建",ＪＲ総武線/浅草橋駅 歩5分
フォースター南千住,東京都台東区清川２,2LDK,17.5万円,"築10年
12階建",ＪＲ常磐線/南千住駅 歩10分
ラリュール谷在家,東京都足立区谷在家３,2LDK,12.3万円,"築1年
3階建",日暮里・舎人ライナー/谷在家駅 歩4分
京成本線 お花茶屋駅 4階建 築5年,東京都葛飾区宝町２,2LDK,12.4万円,"築5年
4階建",京成本線/お花茶屋駅 歩5分
京急本線 鮫洲駅 6階建 築7年,東京都品川区東大井２,2LDK,16.85万円,"築7年
6階建",京急本線/鮫洲駅 歩7分
都営新宿線 住吉駅 5階建 築3年,東京都江東区扇橋２,2LDK,17.9万円,"築3年
5階建",都営新宿線/住吉駅 歩6分
CREAL住吉,東京都江東区扇橋２,2LDK,17.9万円,"築3年
5階建",東京メトロ半蔵門線/住吉駅 歩8分
都営三田線 千石駅 6階建 新築,東京都文京区本駒込６,2LDK,18.4万円,"新築
6階建",都営三田線/千石駅 歩4分
Brillia ist 文京六義園,東京都文京区本駒込６,2LDK,18.4万円,"新築
6階建",都営三田線/千石駅 歩4分
東武伊勢崎線 梅島駅 12階建 築4年,東京都足立区梅島１,2LDK,14.8万円,"築4年
12階建",東武伊勢崎線/梅島駅 歩8分
ルーブル志村坂上,東京都板橋区小豆沢２,2DK,12.5万円,"新築
7階建",都営三田線/志村坂上駅 歩9分
グラン　ベル,東京都葛飾区堀切６,2LDK,13.5万円,"築8年
2階建",京成本線/堀切菖蒲園駅 歩8分
カーサ　プリマヴェラ,東京都江東区亀戸１,2LDK,17.5万円,"築10年
7階建",ＪＲ総武線/亀戸駅 歩8分
ＪＲ山手線 鶯谷駅 10階建 築4年,東京都台東区根岸３,2LDK,19.6万円,"築4年
10階建",ＪＲ山手線/鶯谷駅 歩4分
ＪＲ総武線 平井駅 3階建 新築,東京都江戸川区平井６,2LDK,14.2万円,"新築
3階建",ＪＲ総武線/平井駅 歩9分
東京メトロ千代田線 綾瀬駅 2階建 築8年,東京都葛飾区堀切６,2LDK,13.5万円,"築8年
2階建",東京メトロ千代田線/綾瀬駅 歩16分
ガーデンテラス四季,東京都江戸川区平井６,2LDK,14.2万円,"新築
3階建",ＪＲ総武線/平井駅 歩9分
東京メトロ東西線 神楽坂駅 地下1地上5階建 築2年,東京都新宿区早稲田南町,2DK,18万円,"築2年
地下1地上5階建",東京メトロ東西線/神楽坂駅 歩10分
ドミール中野若宮,東京都中野区若宮１,2LDK,17.6万円,"築4年
3階建",西武新宿線/野方駅 歩6分
ＪＲ山手線 鶯谷駅 13階建 新築,東京都台東区根岸１,2LDK,18.8万円,"新築
13階建",ＪＲ山手線/鶯谷駅 歩3分
グランパセオ根岸,東京都台東区根岸１,2LDK,18.8万円,"新築
13階建",ＪＲ山手線/鶯谷駅 歩3分
京成本線 堀切菖蒲園駅 6階建 新築,東京都葛飾区堀切２,2LDK,16.1万円,"新築
6階建",京成本線/堀切菖蒲園駅 歩7分
京成本線 堀切菖蒲園駅 6階建 新築,東京都葛飾区堀切２,2LDK,16.1万円,"新築
6階建",京成本線/堀切菖蒲園駅 歩7分
日暮里・舎人ライナー 扇大橋駅 3階建 新築,東京都足立区扇１,2LDK,13.2万円,"新築
3階建",日暮里・舎人ライナー/扇大橋駅 歩3分
サンモール瑞江,東京都江戸川区瑞江４,2LDK,12.7万円,"築12年
2階建",都営新宿線/瑞江駅 歩7分
ザ・レジデンス・オブ・トーキョーKK06,東京都品川区東大井２,2LDK,16.85万円,"築7年
6階建",京急本線/鮫洲駅 歩7分
アーバネックス品川中延,東京都品川区中延４,2LDK,19.5万円,"築3年
12階建",都営浅草線/中延駅 歩1分
都営浅草線 中延駅 12階建 築3年,東京都品川区中延４,2LDK,19.5万円,"築3年
12階建",都営浅草線/中延駅 歩1分
都営新宿線 瑞江駅 2階建 築12年,東京都江戸川区瑞江４,2LDK,12.7万円,"築12年
2階建",都営新宿線/瑞江駅 歩7分
北小岩5丁目戸建,東京都江戸川区北小岩５,2SLDK,16万円,"築11年
3階建",京成本線/京成小岩駅 歩7分
レクシア扇II,東京都足立区扇１,2LDK,13.2万円,"新築
3階建",日暮里・舎人ライナー/扇大橋駅 歩3分
Ｃａｓａ・ｄｅ・ｇｒａｃｉａ東中野,東京都中野区東中野２,2LDK,18.5万円,"築4年
3階建",都営大江戸線/中野坂上駅 歩6分
コージーサイト（ＣＯＺＹ　ＳＩＴＥ）(コージーサイト),東京都中野区鷺宮３,2LDK,14.7万円,"築11年
2階建",西武新宿線/鷺ノ宮駅 歩3分
ヴァンテ四つ木,東京都葛飾区四つ木２,2LDK,11.3万円,"築5年
8階建",京成押上線/四ツ木駅 歩10分
京成押上線 四ツ木駅 8階建 築5年,東京都葛飾区四つ木２,2LDK,11.3万円,"築5年
8階建",京成押上線/四ツ木駅 歩10分
プロスペラール シーティオ,東京都江戸川区東瑞江３,2LDK,12.2万円,"築12年
5階建",都営新宿線/瑞江駅 歩6分
都営新宿線 瑞江駅 5階建 築12年,東京都江戸川区東瑞江３,2LDK,12.2万円,"築12年
5階建",都営新宿線/瑞江駅 歩6分
西武新宿線 鷺ノ宮駅 2階建 築11年,東京都中野区鷺宮３,2LDK,14.7万円,"築11年
2階建",西武新宿線/鷺ノ宮駅 歩3分
東京メトロ丸ノ内線 中野富士見町駅 3階建 築4年,東京都杉並区和田１,2DK,14.2万円,"築4年
3階建",東京メトロ丸ノ内線/中野富士見町駅 歩7分
グラン和草,東京都台東区浅草２,2LDK,19.4万円,"新築
12階建",つくばエクスプレス/浅草駅 歩3分
グランツ,東京都葛飾区高砂７,2LDK,13.4万円,"築10年
2階建",京成本線/京成高砂駅 歩9分
ＲＡＳＩＣＬＡＳ　ＣＡＰＩＴＡＬー２,東京都板橋区大山東町,2DK,19.5万円,"新築
4階建",東武東上線/大山駅 歩2分
東武東上線 大山駅 4階建 新築,東京都板橋区大山東町,2DK,19.5万円,"新築
4階建",東武東上線/大山駅 歩2分
第2サニーハイツ,東京都江戸川区東小松川４,2LDK,13.5万円,"築10年
2階建",都営新宿線/船堀駅 歩12分
ＰＩＬＡＲ　（ピラール）,東京都江戸川区西瑞江５,2LDK,11.5万円,"築11年
2階建",都営新宿線/一之江駅 歩8分
ＴＩＮＹ　ＨＯＭＥ　ＯＴＳＵＫＡ,東京都豊島区西巣鴨１,2LDK,17.9万円,"新築
3階建",ＪＲ山手線/大塚駅 歩10分
ＪＲ総武線 浅草橋駅 14階建 築3年,東京都台東区柳橋１,2LDK,19.9万円,"築3年
14階建",ＪＲ総武線/浅草橋駅 歩3分
ハイツハセガワ,東京都杉並区天沼２,2DK,12.8万円,"築9年
3階建",ＪＲ中央線/荻窪駅 歩5分
コンフォース堀切,東京都葛飾区堀切２,2LDK,17.3万円,"新築
6階建",京成本線/堀切菖蒲園駅 歩7分
Gradito Ryogoku（グラディート両国）,東京都墨田区亀沢１,2LDK,19.5万円,"築8年
7階建",都営大江戸線/両国駅 歩1分
日暮里・舎人ライナー 谷在家駅 12階建 築3年,東京都足立区谷在家３,2LDK,13.4万円,"築3年
12階建",日暮里・舎人ライナー/谷在家駅 歩2分
RecorridoNakanoshinbashi,東京都中野区弥生町２,2LDK,18.3万円,"新築
4階建",東京メトロ丸ノ内線/中野新橋駅 歩5分
ファインクレスト赤羽　増築,東京都北区赤羽２,2LDK,16.9万円,"築6年
7階建",ＪＲ京浜東北線/赤羽駅 歩6分
仮称）篠崎町1丁目メゾン,東京都江戸川区篠崎町１,2LDK,13万円,"新築
4階建",都営新宿線/篠崎駅 歩6分
セジュール-S,東京都江戸川区北小岩８,2LDK,12.8万円,"築13年
3階建",京成本線/京成小岩駅 歩8分
瑞雪館,東京都文京区白山５,2LDK,15.3万円,"築10年
4階建",都営三田線/千石駅 歩4分
オーベルアーバンツ両国,東京都墨田区緑１,2LDK,19.5万円,"新築
14階建",都営大江戸線/両国駅 歩3分
クレヴァンス両国サウス,東京都墨田区緑２,2LDK,19.5万円,"築1年
9階建",都営大江戸線/両国駅 歩9分
パーク・ドゥエル,東京都中野区弥生町６,2LDK,19.45万円,"新築
6階建",東京メトロ丸ノ内線/中野富士見町駅 歩8分
フォレストビュー護国寺,東京都文京区大塚２,2LDK,18.5万円,"築11年
10階建",東京メトロ有楽町線/護国寺駅 歩2分
